"","LastName","value","L1"
"805","Beyermann","K",15142694
"806","Abe","Y",15142693
"807","Smit","A",15142687
"808","Meathrel","KE",15140497
"809","Zerajic","D",15050031
"810","Howard","JC",15047128
"811","Clare","T",15037184
"812","Füessl","HS",15035432
"813","Das Gupta","K",15021946
"814","Sproule","JA",15002095
"815","O'Day","J",14996176
"816","Bisson","MA",14758224
"817","Skoff","HD",14758215
"818","Jones","NF",14751120
"819","Yildiz","S",14748021
"820","Bulstrode","NW",14734063
"821","Ritchie","JF",14734062
"822","Khan","AA",14734061
"823","Seegenschmiedt","MH",14652674
"824","Pagnotta","A",14642522
"825","Wilbrand","S",14649687
"826","Graells Estrada","J",14616840
"827","Pambor","C",14605750
"828","Citron","N",14599823
"829","Wright","PK",14595196
"830","Campbell","D",14584358
"831","Ulrich","D",14504511
"832","Foucher","G",12954251
"833","Stöllberger","C",12918859
"834","Tanaka","K",12890425
"835","Bayat","A",12873459
"836","Gudmundsson","KG",12867120
"837","Howard","JC",12866952
"838","Thurston","A",12864830
"839","Cakir","M",12864792
"840","Bisson","MA",12849947
"841","Varallo","VM",12802275
"842","Bayat","A",12794452
"843","Thurston","AJ",12793547
"844","Pan","D",12783014
"845","Jemec","B",12772394
"846","Muramatsu","K",12772115
"847","Lopatecki","M",12743689
"848","Hindman","HB",12729127
"849","van Dycke","KJ",12723264
"850","Alexandroff","AB",12711470
"851","Mandalia","VI",12703034
"852","Bains","W",12699705
"853","Kuhn","MA",12678125
"854","Hunt","TR",12636340
"855","Hasselbacher","K",12601600
"856","Ropp","AM",12583354
"857","Barr","V",12531666
"858","Milner","RH",12531665
"859","Hoch","J",12494380
"860","Luyasu","V",12462799
"861","Nancarrow","JD",12457365
"862","Evans","RB",12449347
"863","Thurston","AJ",12365046
"864","Badalamente","MA",12239666
"865","Williamson","R",12218581
"866","Sinha","R",12162983
"867","Koźma","EM",12087679
"868","Moyer","KE",12087251
"869","Meek","RM",12074617
"870","Beyermann","K",12073190
"871","Beyermann","K",12073189
"872","Wulke","AP",12073188
"873","McFarlane","RM",12015711
"874","Thurston","AJ",11982519
"875","Cagliero","E",11959060
"876","Bayat","A",11924651
"877","Kuhn","MA",11922728
"878","Rhomberg","M",11912542
"879","Dalton","PA",11901473
"880","Bilderback","KK",11901396
"881","Bhatia","R",11895347
"882","Wilbrand","S",11895346
"883","Bayat","A",11895345
"884","Pagnotta","A",11853085
"885","Finsen","V",11810624
"886","Gudmundsson","KG",11781116
"887","Florence","E",11779768
"888","Aladin","A",11770364
"889","Frank","PL",11762098
"890","Adamietz","B",11757183
"891","Ragoowansi","RH",11721270
"892","Jones","NF",11721263
"893","Gudmundsson","KG",11697563
"894","Dave","SA",11599921
"895","Elsner","T",11508365
"896","Goubier","JN",11496607
"897","Foucher","G",11496606
"898","Hueston","J",11496605
"899","Qureshi","FI",11469841
"900","Clibbon","JJ",11469840
"901","Al-Qattan","MM",11418926
"902","Foucher","G",11418917
"903","Srivastava","S",11396492
"904","Brenner","P",11357696
"905","Lange","U",11309227
"906","Smith","SP",11307078
"907","Husby","T",11291357
"908","Gudmundsson","KG",11252689
"909","Seegenschmiedt","MH",11233838
"910","Seegenschmiedt","MH",11172962
"911","Coral","P",10751924
"912","Ketchum","LD",11119679
"913","Chinyama","CN",11117052
"914","Benito","JR",11062568
"915","Shaposhnikov","VI",11026201
"916","Teefey","SA",10994688
"917","Rajesh","KR",10991808
"918","Melling","M",10975920
"919","Wilbrand","S",10961556
"920","Straub","G",10960961
"921","Akyürek","N",10949364
"922","Derbel","F",10939988
"923","Badalamente","MA",10913202
"924","Ebskov","LB",10900632
"925","Saar","JD",10883625
"926","Saboeiro","AP",10883614
"927","Bunyan","AR",10869831
"928","Smith","KE",10863217
